Part,Color,Quantity
54200,40,5
3069b,40,10
3024,40,3
98138,40,3
3065,40,4
58181,40,1
18675pr0002,40,1
92583,40,1
4865b,40,1
87552,40,4
64453,40,1
3823,40,2
57783,40,1
3066,40,5
59900,40,1
87606pr0004,40,1
65633pr0001,40,2
65632,40,2
30372pr0006,40,1
upn0427,40,1
85984,0,26
63864,0,17
2431,0,9
6536,0,19
3010,0,10
3665,0,18
6091,0,18
3023,0,194
41678,0,9
3040b,0,18
3005,0,47
44728,0,7
2412b,0,25
32526,0,18
32013,0,5
3659,0,5
2654,0,6
87580,0,1
3039,0,18
87087,0,8
3710,0,52
15068,0,44
3003,0,63
26603,0,3
54200,0,63
60483,0,11
3795,0,11
3068b,0,4
15573,0,18
3069b,0,37
3622,0,19
3941,0,8
6141,0,54
4599b,0,6
3022,0,39
3034,0,7
3024,0,70
15207,0,2
32064a,0,12
6636,0,17
3008,0,1
3009,0,13
11212,0,6
3298,0,4
41879a,0,2
3747b,0,24
3004,0,47
3020,0,67
4081b,0,31
60479,0,12
970c00,0,2
3070b,0,22
4070,0,30
3460,0,5
3001,0,30
32140,0,25
15571,0,1
3002,0,10
98138,0,4
6632,0,8
6112,0,2
32063,0,6
60897,0,22
32278,0,4
99780,0,98
11090,0,5
50950,0,2
973c03h03pr3573,0,1
15100,0,12
4282,0,4
4740,0,6
87994,0,4
4032a,0,11
27263,0,19
41769,0,4
60474,0,3
57895,0,2
3747a,0,10
3021,0,49
3666,0,38
3031,0,9
28192,0,4
43723,0,10
27507,0,4
47456,0,2
48092,0,2
23443,0,2
3030,0,10
15672,0,8
50305,0,1
99206,0,32
41677,0,13
30503,0,2
3660,0,12
3623,0,54
18653,0,4
2420,0,63
2456,0,3
30414,0,4
2528pr0001,0,1
6179,0,1
3832,0,2
24299,0,1
73983,0,10
43722,0,6
4477,0,10
92947,0,4
87079,0,9
26047,0,39
88930,0,1
11833,0,2
3942c,0,5
32028,0,8
3938,0,4
11153,0,11
63868,0,11
30377,0,3
32474,0,2
43720,0,1
93095,0,5
3895,0,4
59895,0,4
64567,0,7
61482,0,2
48002a,0,1
61409,0,29
6565,0,1
44302b,0,1
99563,0,8
92738,0,2
55981,0,2
22411,0,1
32557,0,5
18896,0,2
42023,0,1
23186,0,1
26287,0,3
32015,0,1
973g03c02h14pr3537,0,1
87556pr0006,0,1
18978a,0,8
24308a,0,4
2357,0,10
24201,0,8
93606,0,2
11947,0,11
88292,0,2
54383,0,11
61252,0,18
42446,0,2
89201,0,4
60596,0,2
26599,0,1
58176,0,5
11477,0,18
32001,0,1
41770,0,4
30374,0,2
6005,0,2
4449,0,1
41748,0,4
32531,0,1
15403,0,2
63965,0,2
4476b,0,4
18677,0,6
52501,0,2
30383,0,6
6233,0,3
15625,0,2
15406,0,1
4315,0,4
15395,0,2
30364,0,1
50304,0,1
87747,0,7
44309,0,2
19732,0,1
6020,0,1
24593,0,2
24309,0,48
18977,0,24
18978b,0,8
20482,0,8
18674,0,1
970c00pr0583,0,1
24122,0,3
24308b,0,4
10247,0,8
2446,0,3
25269,0,27
6564,0,1
4865b,0,16
19729pr0004,0,1
21445,0,1
75937,0,2
30389c,0,4
24246,0,9
18980,0,2
4697b,0,7
24307,0,1
2877,0,4
22385,0,9
87414,0,4
53451,0,5
32202,0,2
4006,0,5
92692,0,2
61485,0,1
87609,0,1
6585,0,1
4499,0,2
32530,0,1
30553,0,2
11203,0,10
6070,0,2
14719,0,6
30363,0,2
53585,0,17
57520,0,2
75c11,0,1
3937,0,6
85975,0,3
15391,0,1
76766,0,1
11476,0,3
6553,0,5
3029,0,3
58247,0,3
11215,0,2
87620,0,8
15445,0,1
93595,0,4
2544,0,1
95354,0,1
6231,0,6
51739,0,3
3033,0,4
18649,0,2
95347,0,2
11211,0,2
32532,0,3
3831,0,8
47758,0,3
15535,0,3
99781,0,13
91988,0,1
970e05,0,1
3839b,0,10
18575,0,2
2723,0,1
85861,0,20
30586,0,2
87086,0,1
3633,0,1
60470b,0,17
50373,0,1
6154,0,1
11455,0,2
87991,0,1
3737,0,3
44567b,0,7
6134,0,3
99207,0,60
55982,0,4
75c09,0,1
32072,0,3
13269,0,2
2566,0,2
15712,0,22
6541,0,8
4864a,0,8
92107,0,1
4871,0,7
92081,0,1
92013,0,6
50944,0,4
3626c,0,1
52107,0,3
16957,0,1
87081,0,2
87618,0,1
60592,0,4
92582,0,6
62810,0,1
92280,0,19
2926,0,2
88704,0,1
6157,0,2
48172,0,2
2680,0,2
48336,0,12
32200,0,1
54384,0,11
30541,0,4
15619,0,3
4162,0,15
32054,0,7
32316,0,18
3705,0,9
56145,0,2
3709,0,6
11946,0,11
32524,0,5
92593,0,25
32039,0,4
32014,0,2
11610,0,4
63869,0,4
3706,0,9
18651,0,14
44676,0,4
30029,0,1
40490,0,1
32270,0,11
87697,0,4
87761,0,1
60478,0,6
2436,0,10
11213,0,1
2450,0,24
3176,0,7
87080,0,1
30386,0,7
3943b,0,1
32124,0,4
88646,0,5
2653,0,8
11458,0,4
64644,0,2
3708,0,1
18944,0,5
3035,0,5
64799,0,2
48729b,0,3
2432,0,4
3700,0,6
4528,0,2
50254,0,8
15446,0,1
60581,0,1
2458,0,2
32000,0,12
3032,0,8
45590,0,2
18654,0,15
32062,0,18
30554b,0,2
98100,0,2
30505,0,2
30165,0,1
30099,0,2
2819,0,2
47458,0,2
99010,0,2
95199,0,2
93563,0,1
93274,0,2
2454b,0,6
47455,0,18
4735,0,2
4600,0,6
4742,0,3
4286,0,2
4229,0,4
60475b,0,7
93273,0,22
2419,0,2
10314,0,1
3702,0,2
3062b,0,33
50861,0,4
50951,0,10
3830,0,8
2780,0,360
32192,0,2
3707,0,7
41239,0,12
59900,0,3
32184,0,4
10197,0,4
2540,0,29
32523,0,13
42003,0,31
93571,0,8
3829c01,0,4
14718,0,1
59443,0,15
62462,0,4
41740,0,6
41682,0,1
35578,0,4
28802,0,4
36752a,0,2
37364,0,1
13591,0,1
37762,0,1
36840,0,30
36841,0,8
35459,0,2
35789,0,2
35787,0,8
36060,0,2
35480,0,37
35044,0,2
32803,0,16
25378,0,1
32828,0,10
34103,0,2
33909,0,23
30699,0,6
29111,0,1
32952,0,13
29120,0,3
29119,0,3
27167,0,2
26601,0,8
6239,0,1
60477,0,6
60484,0,3
60219,0,1
56904,0,6
48171,0,6
43721,0,1
43857,0,12
73213,0,1
71682,0,2
61408,0,2
67324,0,4
53923,0,1
66955,0,2
66954pat0001,0,1
66956,0,1
50340,0,1
54662,0,2
44861,0,6
65487,0,27
68540,0,1
66912pr0001,0,1
66912,0,1
970c00pr9915,0,1
973c42h03pr9769,0,1
66727,0,12
973c01h03pr4972,0,1
65634,0,5
39793,0,2
42918,0,1
41637,0,2
49307,0,3
33492,0,2
3069bpr0247,0,1
3069bpr0249,0,1
42135,0,1
44874,0,2
65746,0,2
4287c,0,1
