BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
11090,6315887,11090,Bar Holder with Clip,11,0,Black,Solid Colors,12,0.24
11211,6138173,11211,"Brick, Modified 1 x 2 with Studs on 1 Side",11,0,Black,Solid Colors,5,0.86
11212,6174917,11212,Plate 3 x 3,11,0,Black,Solid Colors,16,1.25
11476,6313116,11476,"Plate, Modified 1 x 2 with Clip on Side (Horizontal Grip)",11,0,Black,Solid Colors,12,0.46
11477,6029946,11477,"Slope, Curved 2 x 1",5,4,Red,Solid Colors,2,0.31
11477,6047276,11477,"Slope, Curved 2 x 1",11,0,Black,Solid Colors,4,0.31
14413,6039347,14413,"Brick, Modified Facet 4 x 4",11,0,Black,Solid Colors,4,2.16
14719,6247784,14719,Tile 2 x 2 Corner,85,72,Dark Bluish Gray,Solid Colors,2,0.43
14719,6133722,14719,Tile 2 x 2 Corner,11,0,Black,Solid Colors,10,0.43
14769,6070695,14769,"Tile, Round 2 x 2 with Bottom Stud Holder",11,0,Black,Solid Colors,2,0.33
15068,6053077,15068,"Slope, Curved 2 x 2",11,0,Black,Solid Colors,18,0.57
15070,6173959,15070,"Plate, Modified 1 x 1 with Tooth Vertical",11,0,Black,Solid Colors,2,0.25
15461,,15461,"Technic, Pin Connector 3L with 2 Pins and Center Hole",5,4,Red,Solid Colors,70,0.69
15571,6076203,15571,Slope 45 2 x 1 Triple with Bottom Stud Holder,85,72,Dark Bluish Gray,Solid Colors,6,0.34
15571,6051508,15571,Slope 45 2 x 1 Triple with Bottom Stud Holder,11,0,Black,Solid Colors,12,0.34
15573,6092585,15573,"Plate, Modified 1 x 2 with 1 Stud with Groove and Bottom Stud Holder (Jumper)",11,0,Black,Solid Colors,6,0.3
15712,6335388,15712,"Tile, Modified 1 x 1 with Open O Clip",11,0,Black,Solid Colors,34,0.2
18674,6195325,18674,"Tile, Round 2 x 2 with Open Stud",11,0,Black,Solid Colors,4,0.35
18674,6115080,18674,"Tile, Round 2 x 2 with Open Stud",85,72,Dark Bluish Gray,Solid Colors,2,0.35
18677,6192309,18677,"Plate, Modified 1 x 2 with Pin Hole on Bottom",11,0,Black,Solid Colors,2,0.4
23443,6321194,23443,Bar Holder with Handle,11,0,Black,Solid Colors,12,0.28
